Hs Code,Hs  Description,Date Processed,Items Number,Number of Package,Goods Description1,Items Cif Ghc,Amount Paid Ghc,Country  Destination
0305490000,Smoked fish (excl. salmon and herrings),10/10/2003 03:02PM,2,100,SMOKED FISH,2111.52,0.00,CA
,,11/28/2003 03:03PM,1,37,SMOKED FISH,1546.36,0.00,GH
,,12/4/2003 03:32PM,1,6,SMOKED FISH,390.11,0.00,US
0307600000,Snails other than sea snails,11/3/2003 05:51PM,1,4,SNAILS,87.81,0.00,GB
0703100000,"Onions and shallots, fresh or chilled",10/15/2003 01:51PM,4,8,ONIONS,21.12,0.00,GB
0708200000,"Beans, fresh or chilled",11/3/2003 07:51PM,3,75,BEANS,8.78,0.00,GB
0708900000,"Leguminous vegetables, fresh or chilled, nes",10/15/2003 01:51PM,5,3,OKRO,7.92,0.00,GB
0709300000,"Aubergines, fresh or chilled",10/15/2003 01:51PM,3,12,GARDEN EGGS,52.80,0.00,GB
,,11/3/2003 03:36PM,2,60,GARDEN EGGS,105.37,0.00,NL
,,11/3/2003 03:36PM,3,6,GARDEN EGGS,10.54,0.00,GB
,,11/3/2003 03:36PM,4,7,GARDEN EGGS,12.29,0.00,GB
,,11/3/2003 04:23PM,1,20,EGG PLANTG,36.00,0.00,GB
,,11/3/2003 04:44PM,1,20,EGG PLANT,42.15,0.00,GB
,,11/3/2003 04:57PM,3,20,EGG PLANT,42.15,0.00,GB
0709909000,"Vegetables, fresh or chilled - other, nes",11/3/2003 03:36PM,3,100,20CT TURIA80CT MARROW,175.62,0.00,NL
,,11/3/2003 03:36PM,2,105,"VEGETABLES-45CT MARROW30CTTURIA,30CTTINDA",184.40,0.00,GB
,,11/3/2003 03:36PM,4,2,OKRO,3.51,0.00,GB
,,11/3/2003 03:36PM,6,2,OKRO,3.51,0.00,GB
,,11/3/2003 04:23PM,3,25,25CTMARROW,52.69,0.00,GB
,,11/3/2003 04:44PM,3,20,MARROW,42.15,0.00,GB
,,11/3/2003 04:57PM,2,40,20CTMARROW20CTTINDA,84.30,0.00,GB
,,11/3/2003 05:42PM,2,30,MARROW,194.06,0.00,GB
,,11/3/2003 06:13PM,2,40,20CTMARROW20CTTINDA,91.32,0.00,GB
,,11/3/2003 06:13PM,2,150,50CTMARROW50CTTURIA,316.12,0.00,GB
,,11/3/2003 06:44PM,2,60,20MARROW20CTTINDA,92.20,0.00,GB
,,11/3/2003 07:08PM,2,150,35CTMARROW70CTTINDA,281.87,0.00,GB
,,11/3/2003 07:51PM,2,95,35CTMARROW30CTTINDA,158.06,0.00,GB
,,11/3/2003 07:56PM,2,32,10CTMARROW10CTTINDA,52.69,0.00,GB
,,11/3/2003 08:13PM,2,130,50CT MARROW50CTTINDA,131.72,0.00,GB
,,11/3/2003 08:32PM,2,90,30CTMARROW30CTTURIA,131.72,0.00,GB
,,11/3/2003 08:45PM,2,390,100CTMARROW120CTGUAR,1369.84,0.00,GB
0711100000,"Onions provisionally preserved, not for immediate consumption",11/3/2003 03:36PM,2,4,ONION,7.02,0.00,GB
0714901000,Yams,10/10/2003 03:02PM,1,100,FRESH YAMS,1266.91,0.00,CA
,,11/11/2003 07:26PM,5,13,FRESH  YAMS,87.91,0.00,GH
,,11/12/2003 07:37PM,1,149,YAMS,1309.83,0.00,DE
,,11/25/2003 06:35PM,1,208,FRESH  GHANA  YAMS,2207.84,0.00,US
,,11/26/2003 06:50PM,1,170,FRESH  GHANA  YAMS,858.60,0.00,GH
,,12/16/2003 08:06PM,1,7,FRESH  YAMS,101.61,0.00,CH
,,12/29/2003 08:52AM,1,210,FRESH  GHANA  YAMS,2248.30,0.00,GH
0714909000,"Manioc, arrowrrot, salep etc. (of hd 07.14) - other, nes",10/15/2003 01:51PM,2,15,COCOYAM,65.99,0.00,GB
,,11/3/2003 03:36PM,2,3,COCOYAM,10.54,0.00,GB
0802909000,"Nuts, fresh or dried - other, nes",11/6/2003 01:57PM,2,7,TIGER NUTS,35.15,0.00,GH
0803001000,"Plantains, fresh",10/15/2003 01:51PM,1,80,PLANTAIN,351.97,0.00,GB
,,11/3/2003 03:36PM,1,14,PLANTAIN,49.17,0.00,GB
,,11/3/2003 03:36PM,1,10,PLANTAIN,35.12,0.00,GB
0804501000,Mangoes,11/3/2003 04:23PM,4,25,MANGOES,52.69,0.00,GB
,,11/3/2003 08:13PM,3,400,MANGOES,684.92,0.00,GB
