House Code,House Heads Code,House  Description,Date Processed,Items No,Number of Packages,Goods Descriptions 1,Items Cif Ghc,Amount Paid Ghc,Country  Destination
0105190000,0105190000,Fowls of the species gallus domesticus: other,11/9/2005 12:26PM,4,50,50 CTNS AFRICA SPICES,2345.34,0.00,US
0302690000,0302690000,"Fresh or chilled fish, nes",2/5/2005 05:03PM,1,11,FRESH  FISH,1067.38,0.00,GR
,,,2/8/2005 04:52PM,1,10,FRESH  FISH,1538.55,0.00,GR
,,,2/8/2005 05:55PM,1,10,FRESH  FISH,1053.80,0.00,GR
,,,2/8/2005 06:59PM,1,9,FRESH  FISH,880.51,0.00,GR
,,,2/9/2005 08:09PM,1,24,FRESH   FISH,1770.39,0.00,PT
,,,2/10/2005 08:01PM,1,11,FRESH  FISH,1528.01,0.00,GR
,,,2/15/2005 05:54PM,1,8,FRESH  FISH,1197.53,0.00,PT
,,,2/21/2005 07:45AM,1,18,FRESH  FISH,2057.95,0.00,GR
,,,2/22/2005 05:21PM,1,7,FRESH  FISH,1335.72,0.00,PT
,,,3/5/2005 05:30PM,1,12,FRESH  FISH,2116.64,0.00,PT
,,,3/23/2005 08:45PM,1,7,FRESH  FISH,1451.49,0.00,PT
,,,3/29/2005 04:47PM,1,13,FRESH  FISH,2947.45,0.00,PT
,,,4/5/2005 04:41PM,1,7,FRESH  GHANAFISH,1973.39,0.00,PT
0303790000,0303790000,"Frozen fish, nes",8/22/2005 09:36AM,1,115,115 TONS (ONE LOT ASSORTED LOOSEFROZEN FISH),79504.15,0.00,PT
,,,8/22/2005 09:36AM,1,98,98 TONS (ONE LOT ASSORTEDLOOSE FROZEN FISH),67751.72,0.00,PT
,,,10/21/2005 03:22PM,1,3990,3960 CT X 25 KGS ASS. FROZEN FISH,0.00,0.00,ES
,,,11/14/2005 09:52AM,1,7613,7613CT ASSORTED FROZEN FISH,304370.92,0.00,ES
,,,11/17/2005 11:38AM,1,80,80 TONS ( 1 LOT ASSORTED LOOSEFROZEN FISH),44808.59,0.00,GH
,,,11/29/2005 03:56PM,1,1827,1827CARTONS FROZEN FISH,0.00,0.00,GR
,,,,2,466,466 CARTONS SHRIMPS,0.00,0.00,
,,,11/29/2005 04:17PM,1,4368,4368 CARTONS CUTTLE FISH,4382.34,0.00,GH
,,,12/15/2005 11:09AM,1,4212,"4X40""CONT STC 4212CT ASSORTEDFROZENFISH",0.00,0.00,GH
,,,12/14/2005 12:26PM,1,75,75 TONS(ONE LOT ASSORTED LOOSE FROZEN FISH,41544.86,0.00,GH
0304900000,0304900000,Frozen fish meat (excl. fillets),8/1/2005 01:53PM,2,1,SMOKED FISH,9.12,0.00,GH
0305300000,0305300000,"Fish fillets, dried, salted or in brine, but not smoked",3/9/2005 05:03PM,5,1,1 BUNDLE SALTED FISH,4.56,0.00,US
0305420000,0305420000,Smoked herrings (incl. fillets),4/16/2005 05:26PM,2,4,POWDER FISH,171.84,0.00,GB
0305490000,0305490000,Smoked fish (excl. salmon and herrings),2/4/2005 06:00PM,2,1,SMOKED FISH,22.78,0.00,JP
,,,5/30/2005 04:42PM,1,102,SMOKED FISH,2736.68,0.00,GH
,,,10/5/2005 09:26AM,1,27,SMOKED FISH,182.38,0.00,US
,,,10/18/2005 06:29PM,1,200,200CTNS STC SMOKED FISH,911.96,0.00,GB
0305690000,0305690000,"Fish salted or in brine but not dried or smoked - other, nes",2/4/2005 06:00PM,1,2,SALTED FISH,27.33,0.00,JP
0306120000,0306120000,Frozen lobsters,2/9/2005 08:09PM,1,30,FROZEN   LOBSTERS,3161.40,0.00,IT
,,,3/10/2005 06:29PM,1,29,FROZEN  LOBSTERS,4456.07,0.00,IT
,,,3/23/2005 08:45PM,1,30,FROZEN  LOBSTERS,3919.02,0.00,IT
,,,4/12/2005 05:52PM,1,37,FROZEN   LOBSTERS,5301.22,0.00,IT
0306130000,0306130000,Frozen shrimps and prawns,8/5/2005 02:42PM,1,747,747 CARTONS FROZEN SHRIMPS,49416.07,0.00,GR
,,,11/29/2005 04:17PM,2,5712,5712  CARTONS SHRIMPS,20842.56,0.00,GH
0306210000,0306210000,Rock lobster and other sea crawfish (excl. frozen),2/9/2005 05:30PM,1,24,LIVE   LOBSTERS,5342.77,0.00,FR
0306220000,0306220000,Lobsters (excl.frozen),2/17/2005 07:31PM,1,32,LOBSTERS,6883.42,0.00,FR
,,,2/24/2005 05:15PM,1,28,SEA  FOOD  LOBSTER,6529.51,0.00,FR
,,,3/3/2005 05:17PM,1,24,LIVE  LOBSTERS,5518.99,0.00,FR
,,,3/31/2005 03:22PM,1,16,LOBSTERS,4244.33,0.00,FR
0306230000,0306230000,Shrimps and prawns (excl. frozen),8/5/2005 02:25PM,1,747,747 CARTONS FROZEN SHRIMPS,49416.07,0.00,GR
0402990000,0402990000,"Milk&Cream, not solid - other, nes",10/19/2005 09:33AM,5,10,10 BOXES STC CREAM,33.04,0.00,IT
0405100000,0405100000,Butter,9/9/2005 04:11PM,2,6,6 PCS X 16KGS SHEAR BUTTER,27.37,0.00,US
,,,10/11/2005 08:40AM,4,30,SHEAR BUTTER,168.80,0.00,GB
0501000000,0501000000,"Human hair and waste, unworked",2/4/2005 12:52PM,1,2,TWO GASKETS CONTAININGHUMAN REMAINS,1822.31,0.00,ZA
0506900000,0506900000,Bones and horn-cores (excl. ossein...),11/23/2005 03:07PM,1,5,CRASHED HORNS & HOOVES,2861.66,0.00,DE
0509000000,0509000000,Natural sponges of animal origin,8/24/2005 01:48PM,12,2,2 BAGS NET SPONGE,0.91,0.00,GH
,,,11/21/2005 10:48AM,6,2,2 SACKS OF SPONGE,2.14,0.00,NL
0703100000,0703100000,"Onions and shallots, fresh or chilled",8/18/2005 10:30AM,3,5,SHALLOTS,90.48,0.00,DE
,,,8/18/2005 10:42AM,2,15,SHALLOTS,101.79,0.00,DE
,,,8/18/2005 10:46AM,4,4,ONION,33.09,0.00,GB
0706900000,0706900000,"Beetroot...radishes and other similar edible roots, fresh or chilled",8/10/2005 03:31PM,1,1,TIGERNUT,54.74,0.00,CA
0708200000,0708200000,"Beans, fresh or chilled",2/1/2005 02:33PM,4,16,BEANS (25 & 10 KGS),141.23,0.00,US
,,,8/25/2005 09:39AM,8,2,2 SACKS. - BEANS.,5.47,0.00,GB
,,,10/14/2005 07:04AM,5,15,BEANS,66.46,0.00,DE
,,,,6,33,AYILO,146.21,0.00,
0709200000,0709200000,"Asparagus, fresh or chilled",7/11/2005 01:35PM,7,8,8BAGS OF AGUSHIE(ASPARAGUS),58.39,0.00,JP
0709300000,0709300000,"Aubergines, fresh or chilled",2/28/2005 11:49AM,2,1,GARDEN EGGS,0.00,0.00,CA
0709700000,0709700000,"Spinach, fresh or chilled",8/18/2005 10:30AM,2,25,SPINACH,135.72,0.00,DE
,,,8/18/2005 10:42AM,1,30,SPINACH,237.51,0.00,DE
,,,8/18/2005 11:15AM,3,30,SPINACH,132.37,0.00,GB
0709909000,0709909000,"Vegetables, fresh or chilled - other, nes",4/26/2005 10:57AM,1,720,FRESH VEGETABLES,576.13,0.00,GH
,,,4/26/2005 10:57AM,1,133,FRESH VEGETABLES,785.63,0.00,GH
,,,4/26/2005 10:57AM,1,133,FRESH VEGETABLES,628.51,0.00,GH
,,,4/26/2005 10:57AM,1,133,FRESH VEGETABLES,261.88,0.00,GH
,,,4/26/2005 10:57AM,1,133,FRESH VEGETABLES,1400.18,0.00,GH
,,,4/26/2005 10:57AM,1,133,FRESH VEGETABLES,872.93,0.00,GH
,,,4/26/2005 12:41PM,1,210,FRESH VEGETABLES,523.76,0.00,GH
,,,4/26/2005 12:41PM,1,210,FRESH VEGETABLES,1204.64,0.00,GH
,,,4/26/2005 12:41PM,1,210,FRESH VEGETABLES,951.49,0.00,GH
,,,4/26/2005 12:41PM,1,210,FRESH VEGETABLES,427.73,0.00,GH
,,,4/26/2005 12:41PM,1,210,FRESH VEGETABLES,977.68,0.00,GH
,,,4/26/2005 12:41PM,1,210,FRESH VEGETABLES,1632.37,0.00,GH
,,,4/26/2005 04:04PM,1,2400,FRESH VEGETABLES,20950.26,0.00,GH
,,,4/26/2005 04:25PM,1,149,FRESH VEGETABLES,5237.57,0.00,GH
,,,4/26/2005 04:26PM,1,151,VEGETABLES,1731.89,0.00,GH
,,,4/26/2005 04:49PM,1,151,FRESH VEGETABLES,1731.89,0.00,GH
,,,4/26/2005 04:49PM,1,64,VEGETABLES,1752.84,0.00,GH
,,,4/26/2005 04:49PM,1,64,FRESH VEGETABLES,436.46,0.00,GH
,,,4/27/2005 11:48AM,1,672,FRESH VEGETABLES,1047.51,0.00,GH
,,,5/3/2005 09:48PM,6,11,OKRO,72.96,0.00,IT
,,,5/26/2005 10:38AM,1,90,FRESH VEGETABLES,638.56,0.00,GH
,,,6/2/2005 03:55PM,1,81,FRESH VEGETABLES,592.95,0.00,GH
,,,6/3/2005 11:38AM,2,90,MARROWTINDA,299.78,0.00,GB
,,,7/26/2005 05:00PM,1,200,FRESH VEGETABLES(PEPER,316.68,0.00,GB
0710210000,0710210000,"Shelled or unshelled peas, frozen",2/9/2005 11:52AM,5,84,MAGGI AROMA,1367.93,0.00,US
0712200000,0712200000,Dried onions,10/14/2005 07:04AM,13,18,DRIED OKRO,59.81,0.00,DE
0713320000,0713320000,"Dried adzuki beans, shelled",12/16/2005 12:12PM,3,123,AGUSHIE,1246.62,0.00,GB
