House Code,House Heads Code,House Description,Declaration Number,Date Processed,Items Number,Number of Packages,Goods Description 1,Items Cif Ghc,Amount Paid Ghc,Country  Destination
0106190000,0106190000,"Mamals, other",12007046243,2/15/2007 01:05PM,1,1,LIVE DOG,185.51,0.00,US
0106900000,0106900000,"Live animals, other, nes",12007145731,5/24/2007 12:34PM,1,1,LIVE DOG,46.55,0.00,US
,,,12007154583,6/4/2007 11:33AM,1,1,LIVE CAT,46.57,0.00,ZA
,,,12007179579,6/28/2007 10:38AM,1,1,LIVE DOG,93.15,0.00,IR
0302290000,0302290000,"Fresh or chilled flat fish (excl. halibut, plaice and sole)",12007208987,7/27/2007 12:50PM,1,7300,"7,300 TONS SWORD FISH",4092.41,0.00,PT
0302320000,0302320000,Fresh or chilled yellowfin tunas,12007298022,10/15/2007 01:46PM,1,13,FRESH YELLOWFIN TUNA FISH,5680.20,0.00,NL
,,,12007298074,10/15/2007 04:36PM,1,25,FRESH YELLOWFIN TUNA FISH,9467.00,0.00,US
,,,12007298108,10/15/2007 06:16PM,1,30,FRESH YELLOWFIN TUNA FISH,11235.44,0.00,US
,,,12007298110,10/15/2007 06:21PM,1,30,FRESH YELLOWFIN TUNA FISH,11053.67,0.00,US
,,,12007298117,10/15/2007 06:32PM,1,30,FRESH YELLOWFIN TUNA FISH,10970.36,0.00,US
0302390000,0302390000,"Fresh or chilled tunas, nes",12007252772,9/4/2007 07:09PM,1,32,YELLOWFIN TUNA FISH,10160.24,0.00,US
,,,12007252999,9/5/2007 10:38AM,1,19,FRESH TUNA FISH,8242.08,0.00,US
,,,12007253009,9/5/2007 10:38AM,1,16,FRESH TUNA FISH,7118.16,0.00,US
,,,12007265818,9/24/2007 11:39AM,1,19,FRESH TUNA FISH,18.00,0.00,ES
,,,12007265819,10/3/2007 02:22PM,1,17,FRESH TUNA FISH,11343.60,0.00,NL
,,,12007265820,9/15/2007 03:56PM,1,20,FRESH TUNA FISH,11254.80,0.00,US
,,,12007265821,9/15/2007 03:59PM,1,60,FRESH TUNA FISH,33764.40,0.00,GB
,,,12007275919,9/25/2007 02:02PM,1,40,FRESH TUNA,37740.00,0.00,US
,,,12007275931,9/25/2007 02:03PM,1,40,FRESH TUNA,37740.00,0.00,US
,,,12007275952,9/25/2007 02:04PM,1,40,FRESH TUNA,37740.00,0.00,US
,,,12007275994,9/25/2007 02:06PM,1,20,FRESH TUNA,18870.00,0.00,ES
,,,12007276035,9/25/2007 02:43PM,1,40,FRESH TUNA,37740.00,0.00,US
,,,12007278231,9/26/2007 07:05PM,1,30,FRESH TUNA FISH,10949.59,0.00,US
,,,12007278234,9/26/2007 07:11PM,1,30,FRESH TUNA FISH,10975.55,0.00,US
,,,12007278241,9/26/2007 07:19PM,1,30,FRESH TUNA FISH,10704.87,0.00,US
,,,12007279818,9/27/2007 06:34PM,1,38,FRESH TUNA FISH,14639.01,0.00,US
