House Code,House Heads Code,House  Description,Date Processed,Items Number,Number of Packages,Goods Descriptions 1,Items Cif Ghc,Amount Paid Ghc,Country  Destination
0106190000,0106190000,"Mamals, other",7/10/2008 04:31PM,1,9,LIVE MAMMALS,0.01,0.00,NL
0106900000,0106900000,"Live animals, other, nes",6/25/2008 03:49PM,1,1,LIVE CHIMPANZEE,825.28,0.00,ZA
0302650000,0302650000,Fresh or chilled dogfish and other sharks,5/7/2008 04:57PM,2,29400,29400 KGS 1 LOT GULPER SHARKS1 X 20' REEFER   PONU286532,16082.68,0.00,PT
,,,7/10/2008 05:29PM,2,45,45  SHARK FINS,10135.88,0.00,TW
0302690000,0302690000,"Fresh or chilled fish, nes",11/6/2008 09:49AM,1,500,5000KGS FRESH CASSAVA FISH,1100.00,0.00,CI
0303420000,0303420000,Frozen yellowfin tunas,5/20/2008 09:07AM,1,652580,652.580 M/T FROZEN TUNA(FROZEN YELLOWFIN ROUND),948212.72,0.00,CI
,,,5/20/2008 09:07AM,1,620170,620.170 M/T FROZEN TUNA(FROZEN YELLOWFIN ROUND),874208.75,0.00,CI
,,,5/20/2008 01:46PM,1,544520,544.520 M/T FROZEN TUNA FISH(FROZEN YELLOWFIN ROUND),757365.81,0.00,CI
,,,5/20/2008 01:46PM,1,403590,403.590 M/T FROZEN TUNA FISH(FROZEN YELLOWFIN ROUND),581783.33,0.00,CI
,,,8/29/2008 03:45PM,1,290,290540 M/TONSFROZEN YELLOWFIN ROUND,475443.56,0.00,CI
,,,8/29/2008 03:45PM,1,440,440.780 M/TONSFROZEN YELLOWFIN ROUND,845471.00,0.00,CI
,,,9/2/2008 02:24PM,1,809,809.470 M/TFROZEN YELLOWFIN ROUND,0.00,0.00,CI
,,,8/29/2008 03:45PM,1,959,959.460 M/TONSFROZEN YELLOWFIN ROUND,1581609.60,0.00,CI
,,,8/29/2008 03:45PM,1,1521,1521.880 M/TONSFROZEN YELLOWFIN ROUND,2857724.20,0.00,CI
0303490000,0303490000,"Frozen tunas, nes",5/20/2008 09:07AM,1,205839,205.839 M/T FROZEN TUNA(FROZEN SKIP JACK ROND),282018.72,0.00,CI
,,,5/20/2008 01:46PM,1,80518,80.518M/T FROZEN TUNA FISH(FROZEN SKIP JACK ROUND),108358.70,0.00,CI
,,,6/13/2008 11:45AM,1,630303,630.303 M/T BULK FROZEN TUNA FISH[FROZEN SKIP JACK ROUND & YELLOW,924746.24,0.00,CI
,,,6/13/2008 11:45AM,1,848860,848.860 M/T BULK FROZEN TUNA FISH[FROZEN SKIP JACK ROUND & YELLOW,1180970.03,0.00,CI
,,,6/13/2008 11:45AM,1,544174,544.174 M/T BULK FROZEN TUNA FISH[FROZEN SKIP JACK ROUND & YELLOW,749985.24,0.00,CI
