House Code,House Heads Code,House  Description,Date Processed,Items Number,Number of  Packages,Goods Description 1,Items Cif Ghc,Amount Paid Ghc,Country  Destinaton
0106390000,0106390000,"Birds, other",2/8/2010 04:42PM,1,10,LIVE BIRDS,0.01,0.00,GN
0303420000,0303420000,Frozen yellowfin tunas,2/22/2010 11:28AM,1,352,352.240 M/TONSFROZEN YELLOWFIN ROUND,568669.88,0.00,CI
,,,2/22/2010 11:28AM,1,329,329.975 M/TONSFROZEN SKIP JACK ROUND,527212.28,0.00,CI
,,,2/22/2010 11:28AM,1,273,273.880 M/TONSFROZEN YELLOWFIN ROUND,427652.94,0.00,CI
,,,2/22/2010 11:28AM,1,531,531.100 M/TONSFROZEN YELLOWFIN ROUND,842125.22,0.00,CI
,,,2/22/2010 11:28AM,1,445,445.310 M/TONSFROZEN SKIP JACK ROUND,618544.94,0.00,CI
,,,2/22/2010 11:28AM,1,1099,"1,099.960 M/TONSFROZEN YELLOWFIN ROUND",1802094.25,0.00,CI
0303710000,0303710000,"Frozen sardines, brisling or sprats",5/10/2010 03:02PM,1,1000,1000 CTNS X  20 KGSSARDINELLA FOZEN FISH,55035.75,0.00,TG
0303740000,0303740000,Frozen mackerel,4/14/2010 10:32AM,1,600,600 CTNS X 30 KGSH/ MACKEREL (FROZEN FISH),28500.78,0.00,NG
,,,4/19/2010 05:16PM,1,1200,1200 CTNS X 30 KGSH/MACKEREL (FROZEN FISH),42679.56,0.00,TG
,,,4/22/2010 10:46AM,1,1000,1000 CTNS X 20 KGSSARDINELLA ( FROZEN FISH),55132.00,0.00,TG
,,,5/25/2010 10:04AM,1,1000,1000 CTNS X 20 KGSSARDINELLA ( FROZEN FISH),54958.75,0.00,TG
,,,6/26/2010 11:16AM,1,1000,1000 CTNS X 30 KGSH/MACKEREL (FROZEN FISH),55112.75,0.00,TG
,,,7/5/2010 09:41AM,1,1500,1500 CTNS X 20 KGSSARDINELLA (FROZEN FISH),72376.60,0.00,TG
,,,7/7/2010 09:58AM,1,1500,1500 CTNS X 20 KGSSARDINELLA (FROZEN FISH),72538.20,0.00,TG
,,,7/10/2010 10:40AM,1,1500,1500 CTNS X 20 KGSSARDINELLA (FROZEN FISH),72538.20,0.00,TG
,,,7/14/2010 12:14PM,1,1500,1500 CTNS X 20 KGSSARDINELLA ( FROZEN FISH),72725.05,0.00,TG
,,,9/30/2010 08:49AM,1,940,940 CTNS X 30 KGSH/ MACKEREL (FROZEN FISH),19477.80,0.00,NG
,,,10/5/2010 09:23AM,1,920,920 CTNS X 30 KGSH/ MACKEREL (FROZEN FISH),16548.50,0.00,NG
,,,10/11/2010 11:20AM,1,1200,1200 CTNS X 30 KGSH/ MACKEREL (FROZEN FISH),34104.30,0.00,TG
,,,10/20/2010 09:07AM,1,1000,1000 CTNS X 30 KGSH/ MACKEREL (FROZEN FISH),28438.03,0.00,TG
,,,10/26/2010 07:59AM,1,1000,1000 CTNS X 30 KGSH/ MACKEREL (FROZEN FISH),28438.03,0.00,NG
,,,12/10/2010 02:09PM,1,1000,1000 CTNS X 20 KGSH/ MACKEREL (FROZEN FISH),28627.63,0.00,NG
0303790000,0303790000,"Frozen fish, nes",1/5/2010 03:35PM,1,883,1 X 40' CONT. STC 883 CTNSASSORTED FROZEN FISH,60854.97,0.00,ES
,,,1/18/2010 11:18AM,1,1310,1 X 40' AND 1 X 20' CONTS. STC 1310CTNS ASSORTED FROZEN FISH,89363.18,0.00,ES
,,,1/18/2010 11:18AM,1,2042,2 X 40' CONTS. STC 2042 CTNSASSORTED FROZEN FISH,119317.33,0.00,ES
,,,1/26/2010 09:10AM,1,1143,1 X 40' CONT. STC 1143 CTNSASSORTED FROZEN FISH,66727.98,0.00,ES
,,,1/26/2010 12:21PM,1,1131,1 X 40' CONT. STC 1131 CTNSASSORTED FROZEN FISH,66026.89,0.00,ES
,,,2/1/2010 10:07AM,1,1166,1 X 40' CONT. STC 1166 CTNSASSORTED FROZEN FISH,83588.64,0.00,ES
,,,2/2/2010 03:23PM,1,1183,1 X 40' CONT. STC 1183 CTNSASSORTED FROZEN FISH,86772.10,0.00,ES
,,,2/16/2010 09:01AM,1,1225,1 X 40' CONT. STC 1225 CTNSASSORTED FROZEN FISH,72378.79,0.00,ES
,,,2/18/2010 12:44PM,1,1,FROZEN  FISH  ( SAMPLE ),863.64,0.00,CH
,,,2/24/2010 01:39PM,1,1509,1 X 40' AND 1 X 20' CONTS.  STC1509 CTNS ASSORTED FROZEN FISH,106357.84,0.00,ES
,,,2/25/2010 11:09AM,1,1504,1 X 20' AND 1 X 40' CONT. STC1504 CTNS ASSORTED FROZEN FISH,88740.23,0.00,ES
,,,3/11/2010 03:34PM,1,8032,7 X 40' AND 1 X 20' CONTS. STC 8032CTNS ASSORTED FROZEN FISH,468827.19,0.00,ES
,,,3/15/2010 02:12PM,1,1630,1 X 40' AND 1 X 20' CONTS. STC1630 CTNS ASSORTED FROZEN FISH,124303.71,0.00,ES
,,,4/8/2010 12:23PM,1,2503,2 X 40' CONTS. STC 2503 CTNSASSORTED FROZEN FISH,164360.75,0.00,ES
,,,4/12/2010 12:42PM,1,2032,"2X40"" CONT STC 2032 CTNSASSORTED FROZEN FISH",162611.67,0.00,ES
,,,4/13/2010 10:01AM,1,8032,2 X 40' CONT. STC 1753CTNS ASSORTED FROZEN FISH,102217.55,0.00,ES
,,,4/20/2010 03:18PM,1,2346,2 X 40' CONT. STC 2346CTNS ASSORTED FROZEN FISH,164942.18,0.00,ES
,,,4/20/2010 02:36PM,1,958,1 X 40 CONT. STC 958 CTNSASSORTED FROZEN FISH,55631.77,0.00,ES
,,,4/21/2010 01:17PM,1,2364,2 X 40' CONTS. STC 2364 CTNSASSORTED FROZEN FISH,164919.14,0.00,ES
,,,4/21/2010 01:17PM,1,684,1 X 40' CONT. STC 684 CTNSASSORTED FROZEN FISH,52273.05,0.00,ES
,,,5/21/2010 12:14PM,1,380,1 X 20' CONT. STC 380 CTNSASSORTED FROZEN FISH FOR,35256.18,0.00,ES
,,,5/26/2010 12:30PM,1,5400,"1 X 20"" CONT. STC 540 CTNSASSORTED FROZEN FISH",32417.10,0.00,ES
,,,6/16/2010 10:06AM,1,522,1 X 20' CONT. STC 522 CTNSASSORTED FROZEN FISH,30150.19,0.00,ES
,,,6/17/2010 09:21AM,1,522,1 X 20' CONT. STC 522 CTNSASSORTED FROZEN FISH,30150.19,0.00,ES
,,,6/22/2010 04:45PM,1,422,1 X 20' CONT. STC 422 CTNSASSORTED FROZEN FISH,25542.25,0.00,ES
,,,6/30/2010 01:03PM,1,357,1 X 20' CONT. STC 357 CTNSASSORTED FROZEN FISH,23247.94,0.00,ES
,,,7/6/2010 01:47PM,1,646,1 X 20' CONT STC 646 CTNSASSORTED FROZEN FISH,50948.83,0.00,ES
,,,7/26/2010 12:00PM,1,1523,1 X 20' & 1 X 40' CONT. STC1523 CTNS ASSORTED FROZEN FISH,88949.80,0.00,ES
